iter	Passed	Remaining
0	2	282
1	5	268
2	7	253
3	9	219
4	10	199
5	12	201
6	15	202
7	17	201
8	20	202
9	22	200
10	24	197
11	26	194
12	28	190
13	30	189
14	32	185
15	34	181
16	36	176
17	37	172
18	39	169
19	41	165
20	42	160
21	44	156
22	45	152
23	46	148
24	48	145
25	49	140
26	50	136
27	51	132
28	52	127
29	53	124
30	54	120
31	55	116
32	55	113
33	56	109
34	57	106
35	58	103
36	58	100
37	59	97
38	60	94
39	60	91
40	61	88
41	61	85
42	62	82
43	63	80
44	63	77
45	64	75
46	65	73
47	65	71
48	66	69
49	67	67
50	67	65
51	68	63
52	69	61
53	69	59
54	70	57
55	70	55
56	71	53
57	71	51
58	72	50
59	72	48
60	73	46
61	73	45
62	74	43
63	75	42
64	75	40
65	76	39
66	76	37
67	77	36
68	77	35
69	78	33
70	79	32
71	79	30
72	80	29
73	80	28
74	81	27
75	82	25
76	82	24
77	83	23
78	83	22
79	84	21
80	85	19
81	85	18
82	86	17
83	86	16
84	87	15
85	87	14
86	88	13
87	88	12
88	89	11
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	92	4
95	93	3
96	93	2
97	94	1
98	95	0
99	95	0
